Sample ID,PX,PY
r405,231.023827,86.5495
r406,45.9168975,108.987199
r407,255.266887,176.372472
r408,83.591992,302.948963
r409,40.2266056,85.790278
r410,112.617722,189.581954
r411,49.9749985,130.28088
r412,159.573013,166.831723
r413,77.6359059,67.5314074
r414,193.253093,143.215346
r415,55.0228858,75.486967
r416,56.6813049,212.443782
r417,82.213441,328.95781
r418,206.692702,42.6166458
r419,122.351912,184.89641
r420,34.4116007,373.452301
r421,47.5598089,187.109136
r422,135.861655,211.675447
r423,255.00166,422.421058
r424,214.764029,345.875477
r425,150.299076,220.221611
r426,37.3681009,433.519286
r427,131.956459,144.156947
r428,101.577355,96.162554
r429,185.580465,344.472988
r430,143.397769,385.703532
r431,143.581524,151.475879
r432,150.923445,403.991307
r433,127.389759,404.345986
r434,40.1323617,359.14933
r435,243.232086,168.191541
r436,23.9475647,303.7407
r437,119.382176,132.936695
r438,74.4742624,422.246736
r439,43.913741,70.9788295
r440,135.90173,155.649311
r441,176.030881,284.090217
r442,241.119147,121.610388
r443,107.024434,410.073062
r444,225.232398,268.976622
r445,92.217476,171.585017
r446,131.758982,275.510481
r447,54.2553596,273.316301
r448,213.852558,390.02135
r449,179.793832,284.833928
r450,34.8658352,383.666489
r451,123.422136,407.456265
r452,115.24522,258.887092
r453,187.26962,333.578449
r454,178.236716,184.624524
r455,117.76417,79.4252258
r456,93.660853,416.94985
r457,81.225763,122.031497
r458,181.416357,29.3431854
r459,234.654424,115.67361
r460,222.976677,119.316461
r461,114.296446,253.642346
r462,38.9721296,298.336496
r463,218.821534,229.338625
r464,37.494038,68.5407898
r465,47.5430426,290.286833
r466,173.596225,283.403199
r467,96.935888,127.301695
r468,65.2998863,119.016998
r469,114.519114,168.398431
r470,226.886244,149.02597
r471,103.498738,343.720218
r472,20.3441356,115.928287
r473,238.708269,213.33787
r474,248.413628,371.97116
r475,137.820556,127.714263
r476,131.276412,213.357239
r477,163.153291,370.392048
r478,237.45223,158.713311
r479,61.520283,232.261315
r480,208.611458,344.100196
r481,75.9042523,95.471171
r482,158.49157,436.956105
r483,221.810488,421.662069
r484,51.7289064,237.25936
r485,235.013885,70.9808658
r486,128.032962,256.483567
r487,234.594209,35.7303707
r488,79.6508433,420.711811
r489,40.0868705,25.0926661
r490,31.6738579,262.186153
r491,255.155808,331.857313
r492,136.200258,99.240243
r493,222.894328,144.771383
r494,119.910465,207.734394
r495,137.44221,184.406171
r496,63.9890762,295.958221
r497,202.198752,277.858656
r498,93.234393,326.099242
r499,59.7627793,154.582504
r500,27.8741943,80.562595
r501,52.76125,42.6426199
r502,62.5127387,421.140223
r503,144.694508,30.752395
r504,214.668988,406.720518
r505,47.686883,173.999193
r506,234.421229,313.32487
r507,158.084691,259.127986
r508,55.1773746,139.284677
r509,236.673391,24.7753659
r510,80.720593,196.976248
r511,56.1434241,278.002847
r512,204.451318,21.9972562
r513,75.2295995,298.711704
r514,93.295839,68.5743142
r515,144.456707,398.963724
r516,100.30392,62.4194917
r517,57.0643924,257.474492
r518,83.928696,125.601303
r519,104.181108,264.102278
r520,158.830011,420.059956
r521,214.064431,325.457097
r522,243.984876,189.920514
r523,220.127201,226.79305
r524,50.4806659,302.298947
r525,175.868948,216.657536
r526,185.684398,144.211649
r527,27.6907579,249.39038
r528,240.917396,328.710761
r529,134.832533,344.077964
r530,83.964939,362.045156
r531,225.562572,159.913986
r532,74.9951547,394.322718
r533,210.06725,149.655427
r534,175.225966,313.48289
r535,121.840326,101.259464
r536,42.8163843,430.217192
r537,20.8322489,91.018884
r538,147.472081,91.579221
r539,145.833708,283.79797
r540,71.1645331,328.362125
r541,192.063699,414.427562
r542,250.722458,342.684409
r543,144.383984,89.849206
r544,61.8867254,137.723965
r545,155.009632,198.611596
r546,202.221961,371.663269
r547,180.073121,83.631985
r548,73.9695016,299.658587
r549,103.003943,363.595163
r550,96.759622,302.919678
r551,237.175615,177.70031
r552,67.8076112,391.421108
r553,183.431124,259.833736
r554,53.0042621,217.378062
r555,45.6787249,287.158007
r556,42.286255,331.051139
r557,239.947749,81.268591
r558,86.494505,190.689378
r559,232.590531,212.481531
r560,205.487516,254.462904
r561,210.812297,192.069778
r562,69.3616623,439.21021
r563,31.5663975,335.115523
r564,29.3158235,99.148562
r565,88.297791,65.671742
r566,103.71436,332.40224
r567,196.988798,68.3323974
r568,80.399259,439.084543
r569,144.184881,346.811305
r570,202.266733,191.436877
r571,172.660287,136.857986
r572,68.9457645,421.812266
r573,258.330868,126.903442
r574,20.0972104,70.4446055
r575,69.576806,248.895836
r576,172.166742,302.881944
r577,24.1500381,177.219869
r578,26.4165131,81.788684
r579,165.881743,426.982519
r580,156.929925,49.0794537
r581,79.0048035,273.002705
r582,240.686021,101.844707
r583,181.331888,256.953018
r584,174.908105,81.992898
r585,69.9885091,366.118889
r586,135.348257,158.400882
r587,256.76446,219.961589
r588,258.348763,99.709104
r589,128.185769,238.163387
r590,191.563709,227.938436
r591,95.974787,79.4986747
r592,220.085015,336.377928
r593,124.15414,24.5884282
r594,259.038142,94.744021
r595,213.394691,67.7440224
r596,136.69812,245.415274
r597,149.30528,249.078281
r598,101.849578,28.7870726
r599,32.4837451,83.307628
r600,130.093547,253.66176
r601,139.557582,336.901706
r602,87.863414,297.763624
r603,206.34682,341.63577
r604,92.924663,79.9936544
r605,143.732284,266.138467
r606,134.708186,317.052916
r607,204.524534,196.438866
r608,59.3429254,436.176814
r609,126.025796,56.1276273
r610,145.617841,250.628436
r611,134.460605,179.047486
r612,145.914389,182.842622
r613,184.454779,156.629921
r614,104.430085,438.511773
r615,221.511508,333.4914
r616,241.259286,347.511783
r617,45.5143091,399.961428
r618,69.5669403,300.024498
r619,136.794299,310.56802
r620,97.717286,417.349159
r621,133.211342,74.4315957
r622,160.66124,419.237976
r623,73.748003,420.108337
r624,196.167133,56.8981243
r625,56.1161838,374.411501
r626,187.412808,337.991559
r627,83.385897,267.142726
r628,122.351581,148.101073
r629,193.120058,25.7435192
r630,133.87321,155.740807
r631,101.260871,91.355332
r632,77.7421133,111.879653
r633,71.9023227,218.519187
r634,78.0939486,23.3725092
r635,155.577122,346.240379
r636,191.016341,352.396921
r637,45.9431835,69.9880468
r638,144.57821,101.322689
r639,224.525683,439.722415
r640,191.511666,399.357188
r641,95.355604,22.2374836
r642,47.7961142,323.991686
r643,158.000976,190.831625
r644,219.529261,29.6257462
r645,144.881542,186.992243
r646,186.562647,94.565274
r647,139.976957,126.490074
r648,104.998496,403.730799
r649,251.552998,177.444048
r650,241.342701,145.901362
r651,69.1022496,343.851931
r652,249.176704,26.0130002
r653,229.75828,100.211365
r654,187.36276,439.708552
r655,143.022508,27.8263206
r656,135.395964,321.510113
r657,68.4322215,245.688358
r658,44.055045,184.415835
r659,133.42133,229.695078
r660,94.923116,435.769079
r661,205.375833,227.804973
r662,236.25776,430.205045
