OTU,superkingdom,phylum,class,order,family,genus,species,speciesOTU,Comments_bob
OTU19,Eukaryota,Streptophyta,Magnoliopsida,Zingiberales,Musaceae,Musa,Musa genus,Musa genus_18,
OTU20,Eukaryota,Streptophyta,Magnoliopsida,Malpighiales,Phyllanthaceae,Margaritaria,Margaritaria nobilis,Margaritaria nobilis_19,
OTU21,Eukaryota,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,Eugenia domingensis,Eugenia domingensis_20,
OTU22,Eukaryota,Streptophyta,Magnoliopsida,Ericales,Sapotaceae,Manilkara,Manilkara bidentata,Manilkara bidentata_21,
OTU23,Eukaryota,Streptophyta,Magnoliopsida,Alismatales,Araceae,Xanthosoma,Xanthosoma genus,Xanthosoma genus_22,Not a tree
OTU24,Eukaryota,Streptophyta,Magnoliopsida,Dilleniales,Dilleniaceae,Dilleniaceae family,Dilleniaceae family,Dilleniaceae family_23,Nothing in this family recorded from LFDP - perhaps some ornamental nearby?
OTU25,Eukaryota,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitaceae family,Vitaceae family,Vitaceae family_24,Vines; the only species in this family recorded from LFDP is Cissus verticillata (L.) Nicolson & C. E. Jarvis
OTU26,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Sapindaceae family,Sapindaceae family,Sapindaceae family_25,A few species in this family in LFDP
OTU27,Eukaryota,Streptophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Byrsonima,Byrsonima spicata,Byrsonima spicata_26,
OTU28,Eukaryota,Streptophyta,Magnoliopsida,Lamiales,Oleaceae,Chionanthus,Chionanthus domingensis,Chionanthus domingensis_27,
OTU29,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asterales order,Asterales order,Asterales order,Asterales order_28,I don't think there are any trees in this order?
OTU30,Eukaryota,Streptophyta,Magnoliopsida,Malpighiales,Salicaceae,Homalium,Homalium racemosum,Homalium racemosum_29,
OTU31,Eukaryota,Streptophyta,Magnoliopsida,Myrtales,Melastomataceae,Melastomataceae family,Melastomataceae family,Melastomataceae family_30,
